Track Name,Artist,Streams,URL
Deixe Me Ir - Acústico                                                     ,1Kilo            ,557572,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
Millionär                                                                  ,187 Strassenbande,551970,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
Yolla                                                                       ,Tarkan           ,548122,https://open.spotify.com/track/1vZAYNFTcxzrnooQUw5zKD
Thunder                                                                     ,Imagine Dragons  ,517227,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
Déjala Que Vuelva (feat. Manuel Turizo)                                    ,Piso 21          ,502276,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
Wolves                                                                      ,Selena Gomez     ,501874,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
River (feat. Ed Sheeran)                                                    ,Eminem           ,464987,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
I Fall Apart                                                                ,Post Malone      ,381234,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
Vai Embrazando                                                              ,Mc Zaac          ,362655,https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ
Come Again                                                                  ,Ronnie Flex      ,354726,https://open.spotify.com/track/6xImOq7J8ty2xMj3AhPZTq
Too Good At Goodbyes                                                        ,Sam Smith        ,315624,https://open.spotify.com/track/7oAraczbemGSNWqnbkU87R
Raf                                                                         ,Deeperise        ,294180,https://open.spotify.com/track/3xtNRxaUY785OdDP78yrpG
Lamborghini                                                                 ,Gue Pequeno      ,290004,https://open.spotify.com/track/37DbCoArETu3xBSm5MT2o7
Nostalgia                                                                   ,Taco Hemingway   ,267262,https://open.spotify.com/track/1AU7nfy6iBbNt7rrgSglOZ
Starboy                                                                     ,The Weeknd       ,239431,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
Cono Gelato                                                                 ,Dark Polo Gang   ,224567,https://open.spotify.com/track/4O9PDbnXU9SnqhPXBXYOnA
Closer                                                                      ,The Chainsmokers ,220082,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
OK                                                                          ,Robin Schulz     ,207380,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
Amar pelos Dois                                                             ,Salvador Sobral  ,187538,https://open.spotify.com/track/3UjSOJ00E1eLMcayBm827Q
Nougat                                                                      ,Booba            ,180584,https://open.spotify.com/track/3ACvYZqgoP36dURFeovOR8
Suena El Dembow                                                             ,Joey Montana     ,164220,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
El Farsante                                                                 ,Ozuna            ,161533,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
Friends (with BloodPop®)                                                   ,Justin Bieber    ,126538,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
Happy Days                                                                  ,Ghali            ,121759,https://open.spotify.com/track/5s36BGx9nfgtklTJpnk1AE
I'm the One                                                                 ,DJ Khaled        ,119069,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
Ahora Dice                                                                  ,Chris Jeday      ,116950,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
Vuelve                                                                      ,Daddy Yankee     ,103502,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
Explícale                                                                  ,Yandel           ,95714,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
Say You Won't Let Go                                                        ,James Arthur     ,90331,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
Attention                                                                   ,Charlie Puth     ,69462,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
Cuando Se Pone a Bailar                                                     ,Rombai           ,68168,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH
Yolla                                                                       ,Tarkan           ,67752,https://open.spotify.com/track/36RTcbIM1CAOcUT8IZVCKy
In The End                                                                  ,Linkin Park      ,64834,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
Soy Peor                                                                    ,Bad Bunny        ,63784,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0
Chambea                                                                     ,Bad Bunny        ,55201,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i
Heavy (feat. Kiiara)                                                        ,Linkin Park      ,54109,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
What Lovers Do (feat. SZA)                                                  ,Maroon 5         ,44327,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
More Than You Know                                                          ,Axwell /\ Ingross,44176,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
Believer                                                                    ,Imagine Dragons  ,41412,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
Gorgeous                                                                    ,Taylor Swift     ,40283,https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat
Krippy Kush                                                                 ,Farruko          ,36191,https://open.spotify.com/track/3rgjBiAMVGnxmsTDmUy8vb
Me Rehúso                                                                  ,Danny Ocean      ,25332,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
Back to You (feat. Bebe Rexha & Digital Farm Animals)                       ,Louis Tomlinson  ,21114,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
Thunder                                                                     ,Imagine Dragons  ,16952,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
El Farsante                                                                 ,DJ Jonathan      ,14027,https://open.spotify.com/track/66gNNRsKkmECPQUrvpMQtS
El Farsante                                                                 ,Ozuna            ,12980,https://open.spotify.com/track/2LW4Zu7FcrwjWm3t5Rv3Oq
Escápate Conmigo                                                           ,Wisin            ,12523,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
Como Antes                                                                  ,Yandel           ,9807,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5
